Others (miscellaneous),(K-M),Strategies that do not fit into any of the Groups described in strategies.,K-M-*-*-*-*,KMXXXX
First attribute,,Not applicable/undefined,Code,rdfs.label
,X,Not applicable/undefined,K-M-X-*-*-*,KMXXXX
Second attribute,,Not applicable/undefined,Code,rdfs.label
,X,Not applicable/undefined,K-M-*-X-*-*,KMXXXX
Third attribute,,Not applicable/undefined,Code,rdfs.label
,X,Not applicable/undefined,K-M-*-*-X-*,KMXXXX
Fourth attribute,,Not applicable/undefined,Code,rdfs.label
,X,Not applicable/undefined,K-M-*-*-*-X,KMXXXX

,,Return to Strategies_Category Category,,

,,Return to Categories,,
